;nr;file;year;page;source;context;cluster;nz;loc
0;2191;1558_Bosc_Cupe;1558;74;de schepenlijst van 1559-1625 gevoegd achter de kronyk van cuperinus in het handschrift van b;Kronykmatige aanteekeningen voorkomende in  de schepenlijst van 1559-1625 gevoegd achter de kronyk van Cuperinus in het handschrift van B;1;Z;c
1;2193;1558_Bosc_Cupe;1558;90;der heeren chyns boecke;het is te weten dat der heeren chyns boecke die sulcke begrypen penningen oudts;4;Z;c
2;2195;1558_Bosc_Cupe;1558;90;heeren chyns boecken;Item sulcke der heeren chyns boecken begrypende penningen payements ende daer aff maecken;4;Z;c
3;2194;1558_Bosc_Cupe;1558;90;heeren chynsboecken;Item sulcke der heeren chynsboecken begrypende penningen nys en daer aff maecken;4;Z;c
4;2192;1558_Bosc_Cupe;1558;90;heeren chynsen boecken;Dese naevolgende penningen staen inder heeren chynsen boecken;4;Z;c
5;2196;1558_Bosc_Cupe;1558;97;men;verspaert hadden om den ar men te hulpen te coemen die;6;Z;c
6;2197;1558_Bosc_Cupe;1558;99;men;en weerlycken mannen en vrouwen Men woude segghen datse eerst quam;6;Z;c
7;2198;1558_Bosc_Cupe;1558;102;die caerthe;dit voors iaer is gegeven die caerthe van het stille der goeden;4;Z;c
8;2199;1558_Bosc_Cupe;1558;102;die caerthe;int voors iaer alnoch verleent die caerthe  wat payment binnen den Bossche;4;Z;c
9;2200;1558_Bosc_Cupe;1558;105;ordinantie en brieven;Noch by hem verleent  ordinantie en brieven  daer by hartoch Philippus beveelt den;2;Z;c
10;2201;1558_Bosc_Cupe;1558;107;ordinancie;In dese scepenstoel is ordinancie gemaect op de drie knapen;1;Z;c
11;2203;1558_Bosc_Cupe;1558;107;ordinantie;zelven hartoghe int voors iaer verleent ordinantie op de moortbranders etc;1;Z;c
12;2202;1558_Bosc_Cupe;1558;107;caerthe ofte instructie;alnoch gegeven en verleent die caerthe ofte instructie  in wat maniere men;4;Z;c
13;2204;1558_Bosc_Cupe;1558;108;ordinancie en poincten;Ordinancie en poincten  gemaect overgedragen en geslooten van te graven de vesten deser;1;Z;c
14;2205;1558_Bosc_Cupe;1558;108;ordinantie;Item alnoch ordinantie int zelve iaer gemaect van diversche officien van;1;Z;c
15;2206;1558_Bosc_Cupe;1558;113;caerthe;Item alnoch die  caerthe oft previlegien der vryheyt vanden tol tot;4;Z;c
16;2207;1558_Bosc_Cupe;1558;120;valuatie;Dese naevolgende  valuatie is geschiet opten Kersavont int zelve iaer;1;Z;c
17;2208;1558_Bosc_Cupe;1558;122;reductie vande renten chynsen ende pachten;Hier nae volcht die reductie vande renten chynsen ende pachten  int voors iaer gedaen;1;Z;c
18;2210;1558_Bosc_Cupe;1558;124;chynsen renten en pachten;Item die  chynsen renten en pachten  die gecoft zyn tussen sint Iansmisse lxxxix;1;Z;c
19;2209;1558_Bosc_Cupe;1558;124;chynsen renten ende pachten;Item die chynsen renten ende pachten die gecoft zyn tusschen Kersavont int iaer lxxxviij;1;Z;c
20;2212;1558_Bosc_Cupe;1558;135;oepene brieven;byder voors stadt alnoch verleent  oepene brieven  daer inne zy geloeft heeft;2;Z;c
21;2211;1558_Bosc_Cupe;1558;135;seeckere oepene brieven;Item alnoch byder voors stadt  seeckere oepene brieven gegeven en verleent die voorseyde;2;Z;c
22;2213;1558_Bosc_Cupe;1558;160;de voors vrouwe margrita goevernante;Nae die de voors vrouwe Margrita goevernante  tot Huesden wesende heeft den borgeren vanden;6;Z;c
