;Batch;doc;doc_author;contemporain;page_start;scans;scans-annotated;Subcorpus;tokens_total;source;receiver;perception;written;heard;seen;else;year
10;DBNL;1558_Bosc_Cupe;1558_Bosc_Cupe;n;55;228.0;228.0;1.0;61445;33;6;4;0;3;1;0;1558
15;DBNL;1568_Gent_Vaer;1568_Gent_Vaer;y;1;223.0;58.0;0.0;128230;91;15;71;8;54;8;1;1568
19;DBNL;1574_Antw_EykP;1574_Antw_EykP;n;43;125.0;125.0;1.0;50834;11;13;15;0;11;4;0;1574
20;DBNL;1574_Antw_Haec;1574_Antw_Haec;y;1;357.0;147.0;0.0;115893;67;24;43;4;34;5;0;1574
21;DBNL;1575_Antw_Ulle;1575_Antw_Ulle;n;37;131.0;130.0;1.0;60285;5;10;11;1;8;2;0;1575
31;DBNL;1581_Haar_Verw;1581_Haar_Verw;y;1;246.0;160.0;0.0;54359;53;22;58;18;32;8;0;1581
32;1;1582_Stee_Steg;1582_Stee_Steg;n;6;15.0;14.0;1.0;2999;3;0;0;0;0;0;0;1582
34;DBNL;1584_Brug_Weyd;1584_Brug_Weyd;y;1;365.0;150.0;0.0;18665;18;5;7;0;4;3;0;1584
36;3;1595_Iepe_Hern_04;1595_Iepe_Hern_04;y;1;156.0;101.0;0.0;33847;141;9;131;11;111;7;2;1595
51;DBNL;1602_Brus_Pott;1602_Brus_Pott;n;8;57.0;44.0;1.0;53464;0;0;2;0;0;0;0;1602
52;1;1604_Bosc_Anon;1604_Bosc_Anon;n;14;135.0;85.0;0.0;19532;9;4;11;1;7;1;2;1604
57;DBNL;1621_Alkm_Anon;1621_Alkm_Anon;y;1;15.0;15.0;1.0;5984;2;0;1;0;1;0;0;1621
59;DBNL;1628_Alkm_Wijn;1628_Alkm_Wijn;n;20;56.0;55.0;1.0;6952;2;0;0;0;0;0;0;1628
67;2;1643_Antw_anon;1643_Antw_anon;?;1;64.0;63.0;1.0;20584;13;2;21;4;4;11;2;1643
69;1;1648_Rott_Waer;1648_Rott_Waer;?;21;34.0;34.0;1.0;7185;8;2;5;3;2;0;0;1648
71;1;1652_Rijp_Dirc;1652_Rijp_Dirc;y;1;76.0;43.0;0.0;31788;89;44;88;8;77;1;2;1652
72;2;1657_Mech_Beth;1657_Mech_Beth;?;1;88.0;85.0;1.0;30218;38;5;9;1;5;3;0;1657
73;1;1658_Rott_Waer;1658_Rott_Waer;n;21;38.0;38.0;1.0;17360;6;1;5;3;2;0;0;1658
77;2;1666_Gent_Bill_05;1666_Gent_Bill_05;y;1;199.0;197.0;1.0;65969;118;32;102;18;60;22;2;1666
83;2;1668_Gent_Bill_02;1668_Gent_Bill;y;1;190.0;188.0;1.0;69592;123;27;74;8;44;21;1;1668
85;2;1668_Gent_Bill_04;1668_Gent_Bill;y;1;198.0;122.0;0.0;45806;75;13;33;1;21;10;1;1668
86;2;1668_Gent_Bill_05;1668_Gent_Bill;y;1;193.0;157.0;0.0;41100;83;31;65;3;43;19;0;1668
88;2;1668_Gent_Bill_07;1668_Gent_Bill;n;tot 81;191.0;189.0;1.0;27159;25;9;21;1;15;5;0;1668
89;2;1668_Gent_Bill_08;1668_Gent_Bill;n;tot 84;193.0;193.0;1.0;25555;50;10;30;1;23;3;3;1668
91;2;1668_Gent_Bill_10;1668_Gent_Bill;n;tot 142;193.0;190.0;1.0;50129;145;24;65;2;49;12;2;1668
92;2;1668_Gent_Bill_11;1668_Gent_Bill;y;1;193.0;184.0;1.0;68321;191;40;107;6;65;35;1;1668
93;2;1668_Gent_Bill_12;1668_Gent_Bill;y;1;265.0;261.0;1.0;103922;491;27;118;12;92;14;0;1668
97;DBNL;1672_Amst_Wate;1672_Amst_Wate;y;1;30.0;30.0;1.0;17674;15;3;2;1;0;0;1;1672
74;1;1687_Rott_Waer;1687_Rott_Waer;n;54;106.0;106.0;1.0;24492;28;3;17;9;7;1;0;1687
