;doc_author;northsouth;year;cut;tokens_total;1;2;3;4;5;6;7;8;9;1-norm;2-norm;3-norm;4-norm;5-norm;6-norm;7-norm;8-norm;9-norm
0;1558_Bosc_Cupe;n;1558;(1550, 1600];61445.0;13.0;7.0;0.0;8.0;0.0;3.0;0.0;2.0;0.0;0.0002115713239482464;0.00011392302058751729;0.0;0.00013019773781430547;0.0;4.8824151680364556e-05;0.0;3.254943445357637e-05;0.0
1;1568_Gent_Vaer;s;1568;(1550, 1600];128230.0;13.0;1.0;0.0;5.0;15.0;53.0;4.0;0.0;0.0;0.00010138033221555019;7.79848709350386e-06;0.0;3.89924354675193e-05;0.00011697730640255791;0.0004133198159557046;3.119394837401544e-05;0.0;0.0
2;1574_Antw_EykP;s;1574;(1550, 1600];50834.0;5.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;9.835936577880946e-05;0.0;0.0;0.0;1.967187315576189e-05;9.835936577880946e-05;0.0;0.0;0.0
3;1574_Antw_Haec;s;1574;(1550, 1600];115893.0;17.0;8.0;0.0;3.0;8.0;21.0;8.0;1.0;1.0;0.0001466870302779288;6.902919071902531e-05;0.0;2.588594651963449e-05;6.902919071902531e-05;0.00018120162563744143;6.902919071902531e-05;8.628648839878164e-06;8.628648839878164e-06
4;1575_Antw_Ulle;s;1575;(1550, 1600];60285.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;1.658787426391308e-05;0.0;0.0;0.0;0.0;3.317574852782616e-05;1.658787426391308e-05;0.0;1.658787426391308e-05
5;1581_Haar_Verw;n;1581;(1550, 1600];54359.0;6.0;18.0;0.0;1.0;1.0;25.0;0.0;1.0;1.0;0.00011037730642579886;0.0003311319192773966;0.0;1.839621773763314e-05;1.839621773763314e-05;0.0004599054434408286;0.0;1.839621773763314e-05;1.839621773763314e-05
6;1582_Stee_Steg;n;1582;(1550, 1600];2999.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.00033344448149383126;0.0;0.0;0.0;0.0;0.0;0.00033344448149383126;0.00033344448149383126;0.0
7;1584_Brug_Weyd;s;1584;(1550, 1600];18665.0;3.0;0.0;0.0;0.0;3.0;4.0;8.0;0.0;0.0;0.00016072863648540047;0.0;0.0;0.0;0.00016072863648540047;0.00021430484864720065;0.0004286096972944013;0.0;0.0
8;1595_Iepe_Hern_04;s;1595;(1550, 1600];33847.0;19.0;8.0;0.0;0.0;27.0;86.0;0.0;0.0;1.0;0.0005613496026235708;0.00023635772742045086;0.0;0.0;0.0007977073300440217;0.0025408455697698467;0.0;0.0;2.9544715927556358e-05
9;1604_Bosc_Anon;n;1604;(1600, 1650];19532.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;5.119803399549457e-05;0.0;0.00035838623796846203;0.0;5.119803399549457e-05;0.0
10;1621_Alkm_Anon;n;1621;(1600, 1650];5984.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.00016711229946524063;0.0;0.0;0.0;0.0;0.00016711229946524063;0.0;0.0;0.0
11;1628_Alkm_Wijn;n;1628;(1600, 1650];6952.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.00014384349827387802;0.0;0.0;0.00014384349827387802;0.0
12;1643_Antw_anon;s;1643;(1600, 1650];20584.0;9.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.00043723280217644774;0.0;0.0;0.0;9.71628449280995e-05;4.858142246404975e-05;0.0;4.858142246404975e-05;0.0
13;1648_Rott_Waer;n;1648;(1600, 1650];7185.0;6.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0008350730688935282;0.0;0.0;0.0;0.0;0.0002783576896311761;0.0;0.0;0.0
14;1652_Rijp_Dirc;n;1652;(1650, 1700];31788.0;29.0;4.0;0.0;3.0;1.0;52.0;0.0;0.0;0.0;0.0009122939474015352;0.00012583364791745311;0.0;9.437523593808984e-05;3.145841197936328e-05;0.0016358374229268906;0.0;0.0;0.0
15;1657_Mech_Beth;s;1657;(1650, 1700];30218.0;0.0;2.0;0.0;2.0;0.0;5.0;1.0;3.0;25.0;0.0;6.618571712224501e-05;0.0;6.618571712224501e-05;0.0;0.00016546429280561256;3.309285856112251e-05;9.927857568336753e-05;0.0008273214640280627
16;1658_Rott_Waer;n;1658;(1650, 1700];17360.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;5.76036866359447e-05;0.0;0.0;0.0;0.0;0.0001152073732718894;0.0;0.0001728110599078341;0.0
17;1666_Gent_Bill_05;s;1666;(1650, 1700];65969.0;20.0;17.0;2.0;7.0;3.0;47.0;19.0;2.0;1.0;0.00030317270232988223;0.0002576967969803999;3.0317270232988223e-05;0.00010611044581545878;4.5475905349482335e-05;0.0007124558504752232;0.00028801406721338813;3.0317270232988223e-05;1.5158635116494112e-05
18;1668_Gent_Bill;s;1668;(1650, 1700];431584.0;187.0;432.0;3.0;46.0;28.0;290.0;111.0;71.0;1.0;0.0004332876102913917;0.001000963891154445;6.951138133016979e-06;0.00010658411803959368;6.487728924149181e-05;0.000671943352858308;0.0002571921109216282;0.0001645102691480685;2.317046044338993e-06
19;1672_Amst_Wate;n;1672;(1650, 1700];17674.0;4.0;1.0;0.0;1.0;2.0;0.0;7.0;0.0;0.0;0.00022632114971144054;5.6580287427860135e-05;0.0;5.6580287427860135e-05;0.00011316057485572027;0.0;0.00039606201199502095;0.0;0.0
20;1687_Rott_Waer;n;1687;(1650, 1700];24492.0;4.0;2.0;0.0;5.0;0.0;6.0;0.0;11.0;0.0;0.00016331863465621427;8.165931732810714e-05;0.0;0.00020414829332026784;0.0;0.0002449779519843214;0.0;0.00044912624530458925;0.0
21;1697_Leeu_Vitr;n;1697;(1650, 1700];122883.0;79.0;52.0;6.0;22.0;14.0;33.0;27.0;0.0;3.0;0.0006428879503267335;0.0004231667521137993;4.882693293620761e-05;0.00017903208743276126;0.00011392951018448443;0.00026854813114914186;0.00021972119821293424;0.0;2.4413466468103806e-05
22;1713_Hout_Dres;n;1713;(1700, 1750];5633.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007101011894194922;0.0;0.0;0.0
23;1716_Jisp_anon;n;1716;(1700, 1750];18930.0;10.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0005282620179609086;0.0;0.0;0.0;0.0;0.00021130480718436345;0.0;0.0;0.0
24;1719_Brus_Hage;s;1719;(1700, 1750];62918.0;15.0;10.0;2.0;4.0;0.0;19.0;0.0;14.0;0.0;0.0002384055437235767;0.00015893702914905115;3.178740582981023e-05;6.357481165962045e-05;0.0;0.0003019803553831972;0.0;0.0002225118408086716;0.0
25;1719_Tong_Anon;n;1719;(1700, 1750];7939.0;1.0;3.0;0.0;0.0;0.0;16.0;0.0;1.0;0.0;0.00012596044841919638;0.0003778813452575891;0.0;0.0;0.0;0.002015367174707142;0.0;0.00012596044841919638;0.0
26;1721_Antw_anon;s;1721;(1700, 1750];6680.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0001497005988023952;0.0;0.0;0.0002994011976047904;0.0;0.0;0.0;0.0;0.0
27;1722_Huiz_Lust;n;1722;(1700, 1750];59651.0;3.0;1.0;9.0;2.0;0.0;10.0;0.0;2.0;26.0;5.029253491140132e-05;1.676417830380044e-05;0.00015087760473420396;3.352835660760088e-05;0.0;0.0001676417830380044;0.0;3.352835660760088e-05;0.0004358686358988114
28;1725_Antw_anon;s;1725;(1700, 1750];6385.0;19.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0029757243539545813;0.00046985121378230227;0.0;0.0;0.0;0.00031323414252153485;0.0;0.0;0.0
29;1745_Kort_Putt;s;1745;(1700, 1750];97880.0;67.0;11.0;0.0;12.0;0.0;8.0;2.0;11.0;1.0;0.0006845116469145893;0.00011238250919493257;0.0;0.00012259910093992643;0.0;8.173273395995096e-05;2.043318348998774e-05;0.00011238250919493257;1.021659174499387e-05
30;1747_Amst_Boer;n;1747;(1700, 1750];86857.0;57.0;10.0;7.0;30.0;34.0;94.0;21.0;0.0;14.0;0.0006562510793603279;0.00011513176830882946;8.059223781618062e-05;0.0003453953049264884;0.00039144801225002014;0.0010822386221029968;0.00024177671344854186;0.0;0.00016118447563236125
