,topic,words,primitives,category,primitives_corrected,primitives_corrected_1,primitives_corrected_2
0,0,"['wolkachtig' 'verhelderd' 'verdund' 'betrekt' 'wolkentjes' 'buiachtig'
 'verheldert' 'verdonkerd' 'dijzig' 'wolkens' 'motbuitjes' 'broeische'
 'verdonkert' 'westelijk' 'voormiddags' 'wakkert' 'enkelde' 'windje'
 'verdikt' 'welhaast' 'daauw' 'zuidelijk' 'betrokken' 'doodstil' 'kleine'
 'stilt' 'vaak' 'gekrompen' 'mooi' 'rooklucht' 'verdikkende' 'mottig'
 'soms' 'oostelijk' 'zich' 'zelfde' 'dikke' 'namiddags' 'zwoel' 'iets'
 'zeedampen' 'eindelijk' 'bleek' 'krimpend' 'gestild' 'ofschoon'
 'noordelijk' 'westelijke' 'broeisch' 'dalend']",5021,3,5004,503,280
1,1,"['do' 'overleede' 'hat' 'weed' 'weeduwe' 'overleeden' 'elendig' 'juffrou'
 'edl' 'genaampt' 'stark' 'mevrou' 'waater' 'augst' 'gehat' 'laatende'
 'oostindise' 'edelachtbare' 'waar' 'jaaren' 'niwe' 'daar' 'haar' 'swaare'
 'bewinthebber' 'makelaar' 'kreeg' 'braaf' 'subiet' 'huijsvrou' 'gehaalt'
 'tusse' 'vrinde' 'mejuffrou' 'swaar' 'laat' 'kindere' 'sodat' 'leeven'
 'trip' 'plaats' 'achtbaaren' 'meede' 'scheepe' 'henderik' 'vrou' 'jaar'
 'aan' 'erfgenaam' 'mens']",3198,5,3041,605,393
2,2,"['dans' 'sur' 'une' 'un' 'la' 'aux' 'ce' 'au' 'il' 'cette' 'pour' 'apres'
 'les' 'deja' 'meme' 'par' 'plus' 'sest' 'doit' 'toute' 'dont' 'tout'
 'afin' 'qu' 'lui' 'ces' 'dernier' 'etre' 'que' 'le' 'fut' 'puisque' 'ici'
 'toutes' 'sont' 'donc' 'qui' 'autant' 'effet' 'choses' 'cet' 'ou' 'du'
 'etoit' 'necessaire' 'rendre' 'ete' 'est' 'quil' 'premier']",2072,15,735,70,57
3,3,"['smergens' 'doornijck' 'cortrijck' 'housaeren' 'ghecampeert' 'dewelcke'
 'borghers' 'gecommen' 'spansche' 'franschen' 'conijnck' 'becommen'
 'soodat' 'ghemaekt' 'sanderdaghs' 'gheallieerde' 'guarnijsoen'
 'harlebeke' 'eenich' 'intjaer' 'nochtans' 'gheplundert' 'welck' 'wesen'
 'elck' 'waerover' 'daeghe' 'casselrije' 'ghenomen' 'conde' 'gonne'
 'ghesteken' 'sijnen' 'int' 'volck' 'oock' 'corts' 'ghestelt' 'dijversche'
 'connen' 'ende' 'ghecommen' 'denwelcken' 'ghepasseert' 'datmen' 'rijssel'
 'eenighe' 'sijn' 'meuren' 'cronijcke']",1947,1,1644,634,645
4,4,"['souldaten' 'ypere' 'ghedeel' 'uut' 'typer' 'capyteyn' 'venders' 'wasser'
 'zeere' 'allaerme' 'capyteynen' 'sporkele' 'alzoot' 'venderen' 'zeydemen'
 'waelen' 'wastene' 'tsavens' 'ghelycke' 'perden' 'gheweist' 'souldaet'
 'ghezien' 'twas' 'maecten' 'hemlien' 'ryssele' 'ghesleghen' 'zommighe'
 'gheroupen' 'oostendenaers' 'gheschoot' 'zaghen' 'oosthende' 'tsnachts'
 'duer' 'meenene' 'poperynghe' 'dicxsmude' 'tsnuchtens' 'boorghers'
 'ghecommen' 'laghen' 'gheen' 'tracken' 'ghelt' 'perde' 'track' 'ghelyck'
 'buut']",1888,1,572,515,206
5,5,"['hooftschepenen' 'waesmunster' 'tydt' 'moerbeke' 'voorseyde'
 'hooftcollegie' 'rygelden' 'minderwetten' 'hoogballiu' 'waes' 'rygeld'
 'steelant' 'arch' 'stekene' 'rek' 'themsche' 'kemseke' 'hoochballiu'
 'rupelmonde' 'wissekercke' 'belcele' 'gendt' 'syn' 'raedt' 'exaerde'
 'maend' 'wasiæ' 'espinoy' 'prochie' 'gelegentheyt' 'gone' 'balliu'
 'boudewyn' 'recht' 'synde' 'voorseyden' 'vlaen' 'alswanneer' 'prochien'
 'kerck' 'nicolaes' 'boudeloo' 'aengestelt' 'chron' 'gelyck' 'daernae'
 'beveren' 'jo' 'aertshertog' 'gelicht']",1851,2,74,147,168
6,6,"['spaengaerden' 'comen' 'soe' 'voirß' 'gecomen' 'soldaten' 'knechten'
 'oyck' 'volck' 'wech' 'alsoe' 'walen' 'monss' 'nijet' 'vendelen'
 'gebrocht' 'uut' 'mochten' 'gemaect' 'wesende' 'inne' 'ingecomen'
 'metten' 'tydinghe' 'comende' 'guesen' 'oijck' 'bruessel' 'oeck'
 'overmidts' 'vyant' 'laghen' 'diewelcke' 'daernae' 'hertooch'
 'spaengiaerden' 'geusen' 'gecregen' 'ruteren' 'tsamen' 'snachts' 'twelck'
 'waelen' 'vuyt' 'coronel' 'dach' 'gevuert' 'ingebrocht' 'voetknechten'
 'doer']",1404,1,1307,1202,953
7,7,"['soudaeten' 'oersaeck' 'doerdien' 'verhoerden' 'ygelick' 'scansen' 'wuyt'
 'overmids' 'spaengers' 'waerdoer' 'dieselfde' 'tselfde' 'geboerde'
 'hoerden' 'oeck' 'tevoeren' 'goesen' 'hierdoer' 'tegenwoerdelick'
 'sonderling' 'voerens' 'obedia' 'verloepen' 'gosen' 'gestadelick'
 'daerdoer' 'denselfde' 'nieuwerts' 'conincks' 'geleyen' 'twelck'
 'malcander' 'lantluyden' 'crigen' 'opelick' 'benautheyt' 'geheelick'
 'bedroufde' 'soedat' 'armey' 'verkeertheyt' 'weynich' 'oerlochscepen'
 'sulx' 'soeveel' 'swaericheyt' 'voerts' 'vandaen' 'goosen' 'ntie']",1275,1,24,271,297
8,8,"['eodem' 'governeur' 'captijn' 'sulxs' 'gemackt' 'bos' 'janskerck'
 'gemact' 'vuchterpoort' 'gecomen' 'graeff' 'voorsijde' 'majestijt'
 'seeckere' 'gebrocht' 'sall' 'janspoort' 'welck' 'comende' 'geseth'
 'huijssen' 'bolwerck' 'antonis' 'predicaren' 'meijerij' 'breecken'
 'bleeff' 'anno' 'snachs' 'hijligen' 'borgeren' 'paert' 'sconinghs'
 'comen' 'charte' 'gebracht' 'jaerlijxs' 'genoch' 'daernae' 'quaem'
 'driehondert' 'vijff' 'sich' 'gebroocken' 'aff' 'haer' 'gelijck'
 'versien' 'vijant' 'daerenboven']",1267,10,985,473,474
9,9,"['spaengiarden' 'ducdalbe' 'ducdalf' 'vuel' 'deestyt' 'loduwyck' 'vuele'
 'prinschen' 'henegou' 'gescut' 'conicx' 'brusel' 'scier' 'prinsche'
 'gesciede' 'dagelycx' 'goevernuer' 'oraengien' 'nou' 'scip' 'stat'
 'werdt' 'doer' 'gequets' 'sochten' 'papen' 'conick' 'scepen' 'mochten'
 'gedoyt' 'scoten' 'scade' 'welck' 'sou' 'gesciet' 'coniginne'
 'mertinisten' 'duytschelant' 'peryckel' 'comen' 'middelborch' 'gescoten'
 'vranckeryck' 'gescieden' 'cappiteynen' 'volck' 'victalie' 'weynich'
 'seyden' 'genoech']",1151,1,1057,429,522
